Best model	R1	R4	R7	R6	R8	R9
Glyma10g06170.1	0	0	0	0	0.00013096	2.80628E-05
Glyma14g08940.1	0	0	0	0.000168377	0	0
Glyma02g01170.1	0	3.74171E-05	3.74171E-05	0	0	9.35427E-05
Glyma05g22320.1	0.000168377	0	0	0	0	0
Glyma09g04950.1	0.000187085	0	0	0	0	0
Glyma04g00770.1	0	0	0	0.000187085	0	0
Glyma11g19840.1	0	0	0	0	0	0.000187085
Glyma11g11020.1	0	0	0	0.000187085	0	0
Glyma05g33140.1	0	0	0	0	0	0.000187085
Glyma13g42990.1	0.000187085	0	0	0	0	0
Glyma03g40470.1	0.000187085	0	0	0	0	0
Glyma04g07180.1	0	0	0	0	0	0.000187085
Glyma13g25040.1	0	0	0	0.000187085	0	0
Glyma04g41440.1	0	0	0.000187085	0	0	0
Glyma13g35120.1	0	0	0	0	0.000187085	0
Glyma12g08740.1	0	0.000187085	0	0	0	0
Glyma03g41290.1	0	0	0	0	0	0.000187085
Glyma17g17050.1	0	9.35427E-05	9.35427E-05	0	0	0
Glyma04g08280.1	0	9.35427E-05	0	0	9.35427E-05	0
Glyma11g10710.1	0	0	0.000187085	0	0	0
Glyma02g38830.1	0	0	0	0	0.000187085	0
Glyma07g35460.1	0	0	0	0	0	0.000187085
Glyma14g02220.1	0	0	0	0.000187085	0	0
Glyma13g30490.1	0.000187085	0	0	0	0	0
Glyma09g04340.1	0	0	0	0.000187085	0	0
Glyma13g43680.1	0.000187085	0	0	0	0	0
Glyma03g29800.1	0.000187085	0	0	0	0	0
Glyma08g18240.1	0	0	0	0.000187085	0	0
Glyma03g01960.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma20g38460.1	0	0	0	0	0	0.000187085
Glyma20g05640.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma18g47770.1	0	0	0	0.000187085	0	0
Glyma08g06020.1	0	0	9.35427E-05	0	0	9.35427E-05
Glyma05g00260.1	0	9.35427E-05	0	0	0	9.35427E-05
Glyma05g34900.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma04g16980.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma05g26450.1	0.000187085	0	0	0	0	0
Glyma17g04920.1	0	0	9.35427E-05	9.35427E-05	0	0
Glyma17g34570.1	9.35427E-05	0	0	0	9.35427E-05	0
Glyma10g03910.1	0	0	0	0	0	0.000187085
Glyma13g04590.1	0	0	0	0	0	0.000187085
Glyma1246s00210.1	0	0	0	0.000187085	0	0
Glyma12g05840.1	0.000187085	0	0	0	0	0
Glyma11g38220.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma02g08870.1	0	0.000187085	0	0	0	0
Glyma17g08030.1	0	0	9.35427E-05	0	9.35427E-05	0
Glyma08g11870.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma04g03380.1	0.000187085	0	0	0	0	0
Glyma04g41570.1	0	0	9.35427E-05	0	0	9.35427E-05
Glyma08g21900.1	0.000187085	0	0	0	0	0
Glyma20g38230.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma01g36420.1	0	0	0.000187085	0	0	0
Glyma02g47270.1	9.35427E-05	9.35427E-05	0	0	0	0
Glyma13g27220.4	0.000187085	0	0	0	0	0
Glyma13g04500.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma14g40130.1	0	0	9.35427E-05	0	0	9.35427E-05
Glyma16g29960.1	0	9.35427E-05	0	0	0	9.35427E-05
Glyma19g42000.1	0	0	0	0.000187085	0	0
Glyma07g07950.1	0	0	0	0	0	0.000187085
Glyma06g03050.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma18g29100.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma12g12300.1	9.35427E-05	0	0	0	9.35427E-05	0
Glyma07g08900.1	0	0.000187085	0	0	0	0
Glyma05g09390.1	0.000187085	0	0	0	0	0
Glyma11g01610.1	0	9.35427E-05	0	0	9.35427E-05	0
Glyma04g08930.1	0	0	0	0	0	0.000187085
Glyma05g30770.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma13g06410.1	9.35427E-05	0	9.35427E-05	0	0	0
Glyma17g20200.1	0	0	0	0.000187085	0	0
Glyma12g09800.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma03g03270.1	0	0	0	0	0.000187085	0
Glyma20g24740.2	0	9.35427E-05	0	0	9.35427E-05	0
Glyma04g02370.1	0	0	0	0.000187085	0	0
Glyma17g17790.1	0	0	0	0	0.000187085	0
Glyma15g40060.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma04g05620.3	0	0	0	0	0	0.000187085
Glyma07g37320.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma04g36420.1	0	0	0	0	0.000187085	0
Glyma08g02700.1	0	0.000187085	0	0	0	0
Glyma02g00440.1	0	0	0.000187085	0	0	0
Glyma10g36170.1	0	0	0	0	0	0.000187085
Glyma11g10430.1	0	0.000187085	0	0	0	0
Glyma19g41190.1	0	9.35427E-05	0	0	9.35427E-05	0
Glyma08g45720.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma15g08300.2	0	0	0.000187085	0	0	0
Glyma11g04260.1	9.35427E-05	0	0	9.35427E-05	0	0
Glyma06g33940.1	9.35427E-05	0	0	9.35427E-05	0	0
Glyma09g23980.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma09g15940.1	0	0	0.000187085	0	0	0
Glyma06g09160.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma05g33160.1	0	9.35427E-05	0	9.35427E-05	0	0
Glyma10g40690.1	0	9.35427E-05	0	0	0	9.35427E-05
Glyma07g08240.1	0	0	0	0	0	0.000187085
Glyma09g41260.1	0.000187085	0	0	0	0	0
Glyma01g39500.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma11g08020.1	0	0	0	0.000187085	0	0
Glyma05g34580.1	0	0	0	0	0	0.000187085
Glyma03g06450.1	0	0	0.000187085	0	0	0
Glyma02g47990.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma07g05390.1	0	0.000187085	0	0	0	0
Glyma12g27090.1	0	0.000187085	0	0	0	0
Glyma08g08740.1	0.000187085	0	0	0	0	0
Glyma08g46150.1	0	0	0	0	0	0.000187085
Glyma06g08830.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma12g06310.1	0	0	0.000187085	0	0	0
Glyma18g04720.1	0	0	0	0	0	0.000187085
Glyma10g10990.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma20g29190.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma07g37370.1	9.35427E-05	9.35427E-05	0	0	0	0
Glyma19g41390.1	0	0	0	0	0	0.000187085
Glyma09g33990.1	0	0	9.35427E-05	0	0	9.35427E-05
Glyma09g38150.1	0	0.000187085	0	0	0	0
Glyma07g40340.1	0	0	0	0.000187085	0	0
Glyma18g29540.1	0	0	0	0	0	0.000187085
Glyma19g02460.1	0	9.35427E-05	0	0	9.35427E-05	0
Glyma09g21300.1	0	0	0	0	0	0.000187085
Glyma03g32650.1	0	0	0	0	0	0.000187085
Glyma10g41110.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma08g40800.1	0	0	0	0.000187085	0	0
Glyma02g44100.1	0	0	0	0	0	0.000187085
Glyma09g32080.1	0.000187085	0	0	0	0	0
Glyma04g00950.2	0	0	0	0	9.35427E-05	9.35427E-05
Glyma10g26870.1	0	0	0	0	0.000187085	0
Glyma08g42220.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma11g33470.1	0	0	0	0	0	0.000187085
Glyma02g14860.1	0	0	0	0.000187085	0	0
Glyma17g09270.1	0	0	0	0	0	0.000187085
Glyma06g12020.2	0.000187085	0	0	0	0	0
Glyma20g10840.1	0	0	0	0	0	0.000187085
Glyma20g24790.1	0	0	0	0	0	0.000187085
Glyma15g05780.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma16g26600.1	0.000187085	0	0	0	0	0
Glyma08g18920.1	0	0	0.000187085	0	0	0
Glyma07g11310.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma12g04090.2	0	9.35427E-05	0	0	0	9.35427E-05
Glyma19g42600.1	0	0	0	0	0	0.000187085
Glyma18g45380.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma08g04690.1	0	9.35427E-05	9.35427E-05	0	0	0
Glyma08g44120.1	0	0	0	0	0	0.000187085
Glyma09g07070.1	0	0	0.000187085	0	0	0
Glyma02g45260.2	0	0	0	0.000187085	0	0
Glyma06g13480.1	0	0	0	0.000187085	0	0
Glyma09g38440.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma05g28330.1	9.35427E-05	0	0	0	9.35427E-05	0
Glyma10g34230.1	0	0	0	0	0	0.000187085
Glyma08g06570.1	0	0	0	0	0	0.000187085
Glyma01g26990.1	0	0	0	0	0	0.000187085
Glyma01g43680.1	0	0	0	0	0	0.000187085
Glyma16g15820.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma09g24670.1	0.000187085	0	0	0	0	0
Glyma11g12600.1	0.000187085	0	0	0	0	0
Glyma16g26240.1	0	0	0	0	0	0.000187085
Glyma13g04540.1	9.35427E-05	0	9.35427E-05	0	0	0
Glyma09g37820.1	0	0	0	0	0.000187085	0
Glyma05g03150.1	9.35427E-05	0	0	9.35427E-05	0	0
Glyma10g43360.1	0	0	0.000187085	0	0	0
Glyma12g30630.1	0	0.000187085	0	0	0	0
Glyma07g35050.1	0	9.35427E-05	0	0	9.35427E-05	0
Glyma13g19170.1	0	0	0.000187085	0	0	0
Glyma02g01910.1	0	0	9.35427E-05	9.35427E-05	0	0
Glyma04g06420.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma11g12510.2	0	0	0	0	0	0.000187085
Glyma02g42300.1	0	0	0	0	0.000187085	0
Glyma09g38430.1	0	0	0	0	0	0.000187085
Glyma01g39330.1	0	9.35427E-05	0	9.35427E-05	0	0
Glyma03g00840.1	0	0	0	0	0.000187085	0
Glyma07g07270.1	0	9.35427E-05	0	9.35427E-05	0	0
Glyma09g15900.2	0.000187085	0	0	0	0	0
Glyma05g08250.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma09g39610.5	0	0	0	0.000187085	0	0
Glyma17g16470.1	0	0	0	0	0	0.000187085
Glyma01g38400.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma09g17130.1	9.35427E-05	0	9.35427E-05	0	0	0
Glyma20g26420.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma20g24740.1	0	0.000187085	0	0	0	0
Glyma15g15960.1	0	0	9.35427E-05	0	0	9.35427E-05
Glyma08g07200.1	0	0	0	0	0	0.000187085
Glyma20g26160.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma08g39020.1	0	0	0	0.000187085	0	0
Glyma17g12550.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma03g38830.1	9.35427E-05	0	0	9.35427E-05	0	0
Glyma13g05840.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma02g46020.1	0	0	9.35427E-05	9.35427E-05	0	0
Glyma17g14330.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma02g40840.1	0	0.000187085	0	0	0	0
Glyma18g13250.2	0	0	0	0	0	0.000187085
Glyma10g33630.1	0	9.35427E-05	0	9.35427E-05	0	0
Glyma07g16850.4	0	0	0	0	0	0.000187085
Glyma08g27620.1	0	0.000187085	0	0	0	0
Glyma16g03670.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma07g12340.1	0.000187085	0	0	0	0	0
Glyma07g15500.1	0	0	0	0	0	0.000187085
Glyma16g05090.1	9.35427E-05	9.35427E-05	0	0	0	0
Glyma01g34800.1	0	0	0	0	0.000187085	0
Glyma14g06010.1	0	0	0	0.000187085	0	0
Glyma14g05390.1	0	0	0.000187085	0	0	0
Glyma19g06420.1	0	0	9.35427E-05	0	0	9.35427E-05
Glyma01g04350.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma08g24370.1	0	0	0	0	0	0.000187085
Glyma16g01630.2	9.35427E-05	9.35427E-05	0	0	0	0
Glyma13g32910.1	0	9.35427E-05	0	0	0	9.35427E-05
Glyma08g45900.1	0	0	0	0.000187085	0	0
Glyma18g44210.1	0.000187085	0	0	0	0	0
Glyma14g38580.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma9083s00200.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma18g45500.1	0.000187085	0	0	0	0	0
Glyma11g27280.1	0	0	0	0	0.000187085	0
Glyma08g01700.1	0	0	0	0	0	0.000187085
Glyma19g14500.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma18g38100.1	0	0.000187085	0	0	0	0
Glyma13g27710.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma03g27570.1	9.35427E-05	0	0	0	9.35427E-05	0
Glyma12g02510.1	0	0	0	0	0	0.000187085
Glyma02g03070.1	0	0	0	0	0	0.000187085
Glyma04g36570.1	0	0.000187085	0	0	0	0
Glyma10g02660.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma01g32090.1	0	0	0	0.000187085	0	0
Glyma06g17870.1	0	0	0.000187085	0	0	0
